accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR393378.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,579,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR223255.1,Rastrelliger kanagurta,Actinopterygii,COI,653,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR650325.1,Lethrinus nebulosus,Actinopterygii,Control Region,863,Western Indian Ocean,"Lethrinus nebulosus voucher specimen from Western Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_292912,Rastrelliger kanagurta,Actinopterygii,CYTB,871,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR783045.1,Sphyrna lewini,Elasmobranchii,COI,623,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR846898.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,393,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR897247.1,Pempheris rhomboidea,Actinopterygii,COI,657,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR233186.1,Sardinella longiceps,Actinopterygii,COI,625,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR548803.1,Carcharhinus limbatus,Elasmobranchii,CYTB,895,Laccadive Sea,"Carcharhinus limbatus voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR427687.1,Nemipterus japonicus,Actinopterygii,COI,709,Red Sea,"Nemipterus japonicus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR951238.1,Nemipterus japonicus,Actinopterygii,COI,626,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR744316.1,Epinephelus coioides,Actinopterygii,CYTB,996,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR270690.1,Rastrelliger kanagurta,Actinopterygii,COI,658,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_538304,Galeocerdo cuvier,Elasmobranchii,12S rRNA,410,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR884981.1,Sarda orientalis,Actinopterygii,12S rRNA,401,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR293711.1,Sphyrna lewini,Elasmobranchii,16S rRNA,595,Gulf of Oman,"Sphyrna lewini voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR754765.1,Nemipterus japonicus,Actinopterygii,16S rRNA,508,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR456768.1,Katsuwonus pelamis,Actinopterygii,COI,625,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR917423.1,Epinephelus coioides,Actinopterygii,12S rRNA,396,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR271172.1,Carcharhinus limbatus,Elasmobranchii,CYTB,869,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR329596.1,Chaetodon pictus,Actinopterygii,CYTB,870,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR860271.1,Thunnus albacares,Actinopterygii,12S rRNA,404,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR343395.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,433,Laccadive Sea,"Carcharhinus falciformis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_365317,Chaetodon pictus,Actinopterygii,12S rRNA,374,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR415133.1,Chaetodon pictus,Actinopterygii,16S rRNA,531,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR420625.1,Sphyrna lewini,Elasmobranchii,12S rRNA,350,Western Indian Ocean,"Sphyrna lewini voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR384593.1,Pampus argenteus,Actinopterygii,COI,680,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR133088.1,Mobula alfredi,Elasmobranchii,COI,695,Bay of Bengal,"Mobula alfredi voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR782283.1,Pampus argenteus,Actinopterygii,12S rRNA,383,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR678834.1,Scomberomorus commerson,Actinopterygii,12S rRNA,430,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR608717.1,Epinephelus coioides,Actinopterygii,16S rRNA,547,Red Sea,"Epinephelus coioides voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR317977.1,Rhynchobatus djiddensis,Elasmobranchii,COI,714,Arabian Sea,"Rhynchobatus djiddensis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR762108.1,Katsuwonus pelamis,Actinopterygii,COI,624,Western Indian Ocean,"Katsuwonus pelamis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_334757,Sardinella longiceps,Actinopterygii,COI,701,Arabian Sea,"Sardinella longiceps voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR873454.1,Pempheris rhomboidea,Actinopterygii,COI,694,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR381519.1,Mobula alfredi,Elasmobranchii,COI,680,Red Sea,"Mobula alfredi voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR528352.1,Lethrinus nebulosus,Actinopterygii,Control Region,1013,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR214618.1,Pempheris rhomboidea,Actinopterygii,COI,678,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR657343.1,Sphyrna lewini,Elasmobranchii,12S rRNA,436,Gulf of Oman,"Sphyrna lewini voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR496682.1,Scomberomorus commerson,Actinopterygii,COI,710,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR507377.1,Nemipterus japonicus,Actinopterygii,COI,680,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR257713.1,Taeniura lymma,Elasmobranchii,COI,670,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR369965.1,Chaetodon pictus,Actinopterygii,12S rRNA,443,Bay of Bengal,"Chaetodon pictus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_898553,Taeniura lymma,Elasmobranchii,COI,650,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR982824.1,Pampus argenteus,Actinopterygii,COI,625,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR100444.1,Rhynchobatus djiddensis,Elasmobranchii,COI,688,Western Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR727228.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,416,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR538416.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,427,Bay of Bengal,"Katsuwonus pelamis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR555132.1,Mobula alfredi,Elasmobranchii,COI,635,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR349786.1,Thunnus albacares,Actinopterygii,CYTB,898,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR533176.1,Epinephelus coioides,Actinopterygii,COI,638,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR821790.1,Rastrelliger kanagurta,Actinopterygii,CYTB,860,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR356244.1,Thunnus albacares,Actinopterygii,COI,603,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_344404,Mobula alfredi,Elasmobranchii,12S rRNA,445,Red Sea,"Mobula alfredi voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR778410.1,Scomberomorus commerson,Actinopterygii,COI,685,Western Indian Ocean,"Scomberomorus commerson voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR921727.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,371,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR615387.1,Sarda orientalis,Actinopterygii,COI,716,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR671232.1,Sardinella longiceps,Actinopterygii,COI,645,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR539343.1,Katsuwonus pelamis,Actinopterygii,COI,624,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR103483.1,Thunnus albacares,Actinopterygii,COI,652,Red Sea,"Thunnus albacares voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR761558.1,Sarda orientalis,Actinopterygii,12S rRNA,405,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR976070.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,516,Red Sea,"Galeocerdo cuvier voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR681181.1,Pempheris rhomboidea,Actinopterygii,COI,711,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_821726,Sphyrna lewini,Elasmobranchii,12S rRNA,415,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR414421.1,Epinephelus coioides,Actinopterygii,COI,604,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR141237.1,Nemipterus japonicus,Actinopterygii,COI,640,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR557136.1,Lutjanus argentimaculatus,Actinopterygii,COI,662,Red Sea,"Lutjanus argentimaculatus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR117226.1,Epinephelus coioides,Actinopterygii,COI,627,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR603393.1,Sardinella longiceps,Actinopterygii,COI,672,Red Sea,"Sardinella longiceps voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR298399.1,Scomberomorus commerson,Actinopterygii,CYTB,936,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR805858.1,Pampus argenteus,Actinopterygii,Control Region,818,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR168299.1,Pampus argenteus,Actinopterygii,CYTB,1031,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR107883.1,Lutjanus argentimaculatus,Actinopterygii,Control Region,1009,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_279231,Pempheris rhomboidea,Actinopterygii,12S rRNA,442,Arabian Sea,"Pempheris rhomboidea voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR398992.1,Thunnus albacares,Actinopterygii,COI,663,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR430665.1,Chaetodon pictus,Actinopterygii,12S rRNA,415,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR408548.1,Mobula alfredi,Elasmobranchii,12S rRNA,365,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR639756.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,353,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR246313.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,362,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR175047.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,392,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR264789.1,Chaetodon pictus,Actinopterygii,COI,693,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR404135.1,Katsuwonus pelamis,Actinopterygii,COI,684,Western Indian Ocean,"Katsuwonus pelamis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR907448.1,Mobula alfredi,Elasmobranchii,12S rRNA,373,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_601581,Nemipterus japonicus,Actinopterygii,COI,697,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR525511.1,Epinephelus coioides,Actinopterygii,COI,641,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR316660.1,Sphyrna lewini,Elasmobranchii,CYTB,976,Red Sea,"Sphyrna lewini voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR829349.1,Lethrinus nebulosus,Actinopterygii,COI,703,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR922885.1,Epinephelus coioides,Actinopterygii,16S rRNA,552,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR243528.1,Taeniura lymma,Elasmobranchii,12S rRNA,401,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR741310.1,Chaetodon pictus,Actinopterygii,COI,676,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR601397.1,Rhynchobatus djiddensis,Elasmobranchii,16S rRNA,506,Western Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR999170.1,Taeniura lymma,Elasmobranchii,COI,625,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR909395.1,Mobula alfredi,Elasmobranchii,CYTB,871,Indian Ocean,"Mobula alfredi voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_134169,Katsuwonus pelamis,Actinopterygii,12S rRNA,374,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR952946.1,Pampus argenteus,Actinopterygii,CYTB,902,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR698374.1,Taeniura lymma,Elasmobranchii,CYTB,1018,Red Sea,"Taeniura lymma voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR117740.1,Scomberomorus commerson,Actinopterygii,COI,647,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR937431.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,549,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR849589.1,Taeniura lymma,Elasmobranchii,12S rRNA,445,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR777354.1,Sardinella longiceps,Actinopterygii,COI,668,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR135950.1,Sardinella longiceps,Actinopterygii,16S rRNA,596,Red Sea,"Sardinella longiceps voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR677940.1,Sarda orientalis,Actinopterygii,CYTB,916,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR125602.1,Nemipterus japonicus,Actinopterygii,COI,694,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_168041,Galeocerdo cuvier,Elasmobranchii,CYTB,1003,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR692236.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,418,Western Indian Ocean,"Carcharhinus limbatus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR806264.1,Sardinella longiceps,Actinopterygii,COI,623,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR727181.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,400,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR146692.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,529,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR397477.1,Taeniura lymma,Elasmobranchii,12S rRNA,432,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR631766.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,442,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR276412.1,Mobula alfredi,Elasmobranchii,CYTB,1036,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR451307.1,Epinephelus coioides,Actinopterygii,16S rRNA,539,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR171168.1,Lutjanus argentimaculatus,Actinopterygii,COI,623,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_800999,Galeocerdo cuvier,Elasmobranchii,COI,636,Red Sea,"Galeocerdo cuvier voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR989921.1,Rastrelliger kanagurta,Actinopterygii,COI,711,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR643239.1,Chaetodon pictus,Actinopterygii,12S rRNA,416,Bay of Bengal,"Chaetodon pictus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR588746.1,Katsuwonus pelamis,Actinopterygii,Control Region,1075,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR128611.1,Galeocerdo cuvier,Elasmobranchii,COI,619,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR193373.1,Nemipterus japonicus,Actinopterygii,COI,612,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR722064.1,Sarda orientalis,Actinopterygii,Control Region,1006,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR419564.1,Scomberomorus commerson,Actinopterygii,16S rRNA,528,Western Indian Ocean,"Scomberomorus commerson voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR429846.1,Mobula alfredi,Elasmobranchii,COI,693,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR339516.1,Pampus argenteus,Actinopterygii,COI,708,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_274440,Lutjanus argentimaculatus,Actinopterygii,Control Region,916,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR330952.1,Rastrelliger kanagurta,Actinopterygii,COI,607,Western Indian Ocean,"Rastrelliger kanagurta voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR238659.1,Mobula alfredi,Elasmobranchii,12S rRNA,353,Red Sea,"Mobula alfredi voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR985902.1,Pampus argenteus,Actinopterygii,12S rRNA,448,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR974683.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,367,Western Indian Ocean,"Galeocerdo cuvier voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR658663.1,Sarda orientalis,Actinopterygii,12S rRNA,391,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR732710.1,Nemipterus japonicus,Actinopterygii,COI,712,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR371859.1,Nemipterus japonicus,Actinopterygii,12S rRNA,401,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR711159.1,Sphyrna lewini,Elasmobranchii,CYTB,944,Gulf of Oman,"Sphyrna lewini voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR509528.1,Lutjanus argentimaculatus,Actinopterygii,CYTB,1009,Red Sea,"Lutjanus argentimaculatus voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_479038,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,391,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR216187.1,Pempheris rhomboidea,Actinopterygii,COI,689,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR684080.1,Pempheris rhomboidea,Actinopterygii,COI,674,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR362380.1,Thunnus albacares,Actinopterygii,COI,670,Red Sea,"Thunnus albacares voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR391851.1,Galeocerdo cuvier,Elasmobranchii,CYTB,986,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR300651.1,Galeocerdo cuvier,Elasmobranchii,COI,602,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
